,importance
manufacturer_type_mercury_mini-van,0.0
manufacturer_type_mercury_pickup,0.0
manufacturer_type_mercury_sedan,0.0
manufacturer_type_mercury_truck,0.0
manufacturer_type_pontiac_hatchback,0.0
manufacturer_type_pontiac_other,0.0
manufacturer_type_chevrolet_other,0.0
manufacturer_type_toyota_van,0.0
manufacturer_type_toyota_SUV,0.0
manufacturer_type_toyota_convertible,0.0
manufacturer_type_toyota_coupe,0.0
manufacturer_type_toyota_hatchback,0.0
manufacturer_type_toyota_mini-van,0.0
manufacturer_type_toyota_offroad,0.0
manufacturer_type_toyota_other,0.0
manufacturer_type_toyota_pickup,0.0
manufacturer_type_toyota_truck,0.0
manufacturer_type_toyota_wagon,0.0
manufacturer_type_pontiac_sedan,0.0
manufacturer_type_volkswagen_SUV,0.0
manufacturer_type_volkswagen_convertible,0.0
manufacturer_type_volkswagen_coupe,0.0
manufacturer_type_volkswagen_hatchback,0.0
manufacturer_type_volkswagen_mini-van,0.0
manufacturer_type_volkswagen_other,0.0
manufacturer_type_volkswagen_wagon,0.0
manufacturer_type_volvo_SUV,0.0
manufacturer_type_volvo_hatchback,0.0
manufacturer_type_subaru_wagon,0.0
manufacturer_type_subaru_truck,0.0
manufacturer_type_subaru_sedan,0.0
manufacturer_type_subaru_offroad,0.0
manufacturer_type_porsche_convertible,0.0
manufacturer_type_porsche_coupe,0.0
manufacturer_type_ram_SUV,0.0
manufacturer_type_ram_mini-van,0.0
manufacturer_type_ram_offroad,0.0
manufacturer_type_ram_other,0.0
manufacturer_type_ram_pickup,0.0
manufacturer_type_ram_sedan,0.0
manufacturer_type_ram_van,0.0
manufacturer_type_ram_wagon,0.0
manufacturer_type_rover_SUV,0.0
manufacturer_type_rover_truck,0.0
manufacturer_type_saturn_SUV,0.0
manufacturer_type_saturn_coupe,0.0
manufacturer_type_saturn_hatchback,0.0
manufacturer_type_saturn_sedan,0.0
manufacturer_type_saturn_wagon,0.0
manufacturer_type_subaru_coupe,0.0
manufacturer_type_subaru_hatchback,0.0
manufacturer_type_mazda_hatchback,0.0
manufacturer_type_mazda_coupe,0.0
manufacturer_type_mazda_convertible,0.0
manufacturer_type_gmc_bus,0.0
manufacturer_type_fiat_sedan,0.0
manufacturer_type_ford_bus,0.0
manufacturer_type_ford_convertible,0.0
manufacturer_type_ford_hatchback,0.0
manufacturer_type_ford_mini-van,0.0
manufacturer_type_ford_offroad,0.0
manufacturer_type_ford_other,0.0
manufacturer_type_ford_wagon,0.0
manufacturer_type_gmc_SUV,0.0
manufacturer_type_gmc_convertible,0.0
manufacturer_type_mazda_SUV,0.0
manufacturer_type_gmc_offroad,0.0
manufacturer_type_gmc_other,0.0
manufacturer_type_gmc_pickup,0.0
manufacturer_type_gmc_sedan,0.0
manufacturer_type_gmc_truck,0.0
manufacturer_type_gmc_van,0.0
manufacturer_type_gmc_wagon,0.0
manufacturer_type_honda_coupe,0.0
manufacturer_type_honda_hatchback,0.0
manufacturer_type_fiat_hatchback,0.0
manufacturer_type_fiat_coupe,0.0
manufacturer_type_fiat_SUV,0.0
manufacturer_type_dodge_wagon,0.0
manufacturer_type_chevrolet_truck,0.0
manufacturer_type_chevrolet_van,0.0
manufacturer_type_chevrolet_wagon,0.0
manufacturer_type_chrysler_SUV,0.0
manufacturer_type_chrysler_coupe,0.0
manufacturer_type_chrysler_hatchback,0.0
manufacturer_type_chrysler_mini-van,0.0
manufacturer_type_chrysler_truck,0.0
manufacturer_type_chrysler_van,0.0
manufacturer_type_chrysler_wagon,0.0
manufacturer_type_dodge_SUV,0.0
manufacturer_type_dodge_coupe,0.0
manufacturer_type_dodge_hatchback,0.0
manufacturer_type_dodge_mini-van,0.0
manufacturer_type_dodge_other,0.0
manufacturer_type_dodge_pickup,0.0
manufacturer_type_dodge_sedan,0.0
manufacturer_type_dodge_truck,0.0
manufacturer_type_dodge_van,0.0
manufacturer_type_honda_mini-van,0.0
manufacturer_type_honda_other,0.0
manufacturer_type_honda_pickup,0.0
manufacturer_type_jeep_van,0.0
manufacturer_type_kia_SUV,0.0
manufacturer_type_kia_coupe,0.0
manufacturer_type_kia_hatchback,0.0
manufacturer_type_kia_mini-van,0.0
manufacturer_type_kia_other,0.0
manufacturer_type_kia_van,0.0
manufacturer_type_kia_wagon,0.0
manufacturer_type_land rover_SUV,0.0
manufacturer_type_lexus_SUV,0.0
manufacturer_type_lexus_coupe,0.0
manufacturer_type_lexus_hatchback,0.0
manufacturer_type_lexus_sedan,0.0
manufacturer_type_lincoln_SUV,0.0
manufacturer_type_lincoln_convertible,0.0
manufacturer_type_lincoln_coupe,0.0
manufacturer_type_lincoln_other,0.0
manufacturer_type_lincoln_pickup,0.0
manufacturer_type_lincoln_sedan,0.0
manufacturer_type_lincoln_truck,0.0
manufacturer_type_jeep_wagon,0.0
manufacturer_type_jeep_truck,0.0
size,0.0
manufacturer_type_jeep_sedan,0.0
manufacturer_type_honda_truck,0.0
manufacturer_type_honda_van,0.0
manufacturer_type_honda_wagon,0.0
manufacturer_type_hyundai_SUV,0.0
manufacturer_type_hyundai_coupe,0.0
manufacturer_type_hyundai_hatchback,0.0
manufacturer_type_hyundai_mini-van,0.0
manufacturer_type_hyundai_wagon,0.0
manufacturer_type_infiniti_SUV,0.0
manufacturer_type_infiniti_coupe,0.0
manufacturer_type_infiniti_sedan,0.0
manufacturer_type_jaguar_SUV,0.0
manufacturer_type_jaguar_coupe,0.0
manufacturer_type_jaguar_sedan,0.0
manufacturer_type_jeep_SUV,0.0
manufacturer_type_jeep_hatchback,0.0
manufacturer_type_jeep_offroad,0.0
manufacturer_type_jeep_other,0.0
manufacturer_type_jeep_pickup,0.0
manufacturer_type_chrysler_sedan,0.0
region_augusta,0.0
title_status_parts only,0.0
"region_kansas city, mo",0.0
region_ithaca,0.0
region_jackson,0.0
region_jacksonville,0.0
region_janesville,0.0
region_jersey shore,0.0
region_jonesboro,0.0
region_joplin,0.0
region_kalamazoo,0.0
region_kalispell,0.0
region_kenai peninsula,0.0
region_lake charles,0.0
region_kennewick-pasco-richland,0.0
region_kenosha-racine,0.0
region_killeen / temple / ft hood,0.0
region_klamath falls,0.0
region_knoxville,0.0
region_kokomo,0.0
region_la crosse,0.0
region_la salle co,0.0
region_lafayette,0.0
region_iowa city,0.0
region_inland empire,0.0
region_indianapolis,0.0
region_imperial county,0.0
region_greensboro,0.0
region_greenville / upstate,0.0
region_gulfport / biloxi,0.0
region_hanford-corcoran,0.0
region_harrisburg,0.0
region_harrisonburg,0.0
region_hartford,0.0
region_hattiesburg,0.0
region_hawaii,0.0
region_heartland florida,0.0
region_helena,0.0
region_hickory / lenoir,0.0
region_high rockies,0.0
region_holland,0.0
region_houston,0.0
region_hudson valley,0.0
region_humboldt county,0.0
region_huntington-ashland,0.0
region_huntsville / decatur,0.0
region_lafayette / west lafayette,0.0
region_lake of the ozarks,0.0
region_great falls,0.0
region_mobile,0.0
region_mattoon-charleston,0.0
region_mcallen / edinburg,0.0
region_medford-ashland,0.0
region_memphis,0.0
region_mendocino county,0.0
region_merced,0.0
region_milwaukee,0.0
region_minneapolis / st paul,0.0
region_missoula,0.0
region_modesto,0.0
region_lakeland,0.0
region_mohave county,0.0
region_monroe,0.0
region_monterey bay,0.0
region_montgomery,0.0
region_morgantown,0.0
region_moses lake,0.0
region_muncie / anderson,0.0
region_muskegon,0.0
region_myrtle beach,0.0
region_mason city,0.0
region_mansfield,0.0
region_mankato,0.0
region_manhattan,0.0
region_lancaster,0.0
region_lansing,0.0
region_laredo,0.0
region_las cruces,0.0
region_lawrence,0.0
region_lawton,0.0
region_lehigh valley,0.0
region_lewiston / clarkston,0.0
region_lexington,0.0
region_lima / findlay,0.0
region_lincoln,0.0
region_little rock,0.0
region_long island,0.0
region_louisville,0.0
region_lubbock,0.0
region_lynchburg,0.0
region_macon / warner robins,0.0
region_madison,0.0
region_maine,0.0
region_green bay,0.0
region_grand rapids,0.0
title_status_missing,0.0
region_colorado springs,0.0
region_charlottesville,0.0
region_chattanooga,0.0
region_chautauqua,0.0
region_chicago,0.0
region_chico,0.0
region_cincinnati,0.0
region_cleveland,0.0
region_clovis / portales,0.0
region_college station,0.0
region_columbia,0.0
region_delaware,0.0
region_columbia / jeff city,0.0
region_columbus,0.0
region_corpus christi,0.0
region_corvallis/albany,0.0
region_dallas / fort worth,0.0
region_danville,0.0
region_dayton / springfield,0.0
region_daytona beach,0.0
region_deep east texas,0.0
region_charlotte,0.0
region_charleston,0.0
region_champaign urbana,0.0
region_central nj,0.0
region_billings,0.0
region_binghamton,0.0
region_birmingham,0.0
region_bismarck,0.0
region_bloomington,0.0
region_bloomington-normal,0.0
region_boone,0.0
region_boston,0.0
region_boulder,0.0
region_bowling green,0.0
region_bozeman,0.0
region_brainerd,0.0
region_brownsville,0.0
region_brunswick,0.0
region_buffalo,0.0
region_butte,0.0
region_cape cod / islands,0.0
region_cedar rapids,0.0
region_central michigan,0.0
region_del rio / eagle pass,0.0
region_denver,0.0
region_grand island,0.0
region_fort smith,0.0
region_fayetteville,0.0
region_finger lakes,0.0
region_flagstaff / sedona,0.0
region_flint,0.0
region_florence,0.0
region_florence / muscle shoals,0.0
region_florida keys,0.0
region_fort collins / north co,0.0
region_fort dodge,0.0
region_fort wayne,0.0
region_des moines,0.0
region_fredericksburg,0.0
region_fresno / madera,0.0
region_ft myers / sw florida,0.0
region_gadsden-anniston,0.0
region_gainesville,0.0
region_galveston,0.0
region_glens falls,0.0
region_gold country,0.0
region_grand forks,0.0
region_farmington,0.0
region_fargo / moorhead,0.0
region_fairbanks,0.0
region_evansville,0.0
region_detroit metro,0.0
region_dothan,0.0
region_dubuque,0.0
region_duluth / superior,0.0
region_east idaho,0.0
region_east oregon,0.0
region_eastern co,0.0
region_eastern ct,0.0
region_eastern kentucky,0.0
region_eastern montana,0.0
region_eastern nc,0.0
region_eastern panhandle,0.0
region_eastern shore,0.0
region_eau claire,0.0
region_el paso,0.0
region_elko,0.0
region_elmira-corning,0.0
region_erie,0.0
region_eugene,0.0
region_nashville,0.0
region_new hampshire,0.0
region_new haven,0.0
region_watertown,0.0
region_upper peninsula,0.0
region_utica-rome-oneida,0.0
region_valdosta,0.0
region_ventura county,0.0
region_vermont,0.0
region_victoria,0.0
region_visalia-tulare,0.0
region_waco,0.0
region_waterloo / cedar falls,0.0
region_wausau,0.0
region_winston-salem,0.0
region_wenatchee,0.0
